time,SC_AACGM_LAT_deg,SC_AACGM_LTIME_hr,ELE_TOTAL_ENERGY_FLUX_erg_per_cm2_s,ELE_TOTAL_COUNTS_#_per_cm2_s
2013-03-17 00:30:00,90.0,16.673684210526318,0.0007310889195650816,173400.921875
2013-03-17 00:30:00,90.0,16.926315789473684,0.0007163556292653084,170217.90625
2013-03-17 00:30:00,90.0,17.178947368421053,0.0007049746927805245,167409.90625
2013-03-17 00:30:00,90.0,17.431578947368422,0.0006953806732781231,165290.515625
2013-03-17 00:30:00,90.0,17.68421052631579,0.0006860632565803826,164005.75
2013-03-17 00:30:00,90.0,17.936842105263157,0.0006773063796572387,162960.890625
2013-03-17 00:30:00,90.0,18.189473684210526,0.0006687509012408555,161958.96875
2013-03-17 00:30:00,90.0,18.442105263157895,0.0006606036913581192,161937.09375
2013-03-17 00:30:00,90.0,18.694736842105264,0.0006597583997063339,162167.15625
2013-03-17 00:30:00,90.0,18.947368421052634,0.0006595875602215528,162399.671875
